date,sku_name,product_id,merchant_code,merchant_badge,product_type,merchant_city,cod,price,stock,daily_gmv,daily_sold,daily_view,rating,total_review,total_sold
3/11/2020,HUAWEI NOVA 5T RAM 8GB INTERNAL 128GB,E1,1,PM,Huawei nova 5T,Kota Kediri,FALSE,4500000,1,0,0,0,95,37,74
3/26/2020,Huawei Nova 5T (8GB/128GB) - Crush Green,F1,2,OS,Huawei nova 5T,Kota Administrasi Jakarta Utara,FALSE,4999000,5,0,0,0,0,0,2
3/23/2020,HUAWEI NOVA 5T RAM 8/128 GARANSI RESMI HUAWEI INDONESIA - Biru,F2,3,PM,Huawei nova 5T,Kota Administrasi Jakarta Barat,FALSE,4589900,16,0,0,0,96,12,19
4/29/2020,HUAWEI NOVA 5T RAM 8/128GB GARANSI RESMI HUAWEI INDONESIA TERMURAH - Ungu,E2,4,OS,Huawei nova 5T,Kota Surabaya,FALSE,4698500,5,0,0,0,99,42,63
4/15/2020,nokia 3310 reborn,C1,5,RM,Nokia 1,Kab. Bangkalan,TRUE,1000000,999999,0,0,3,100,18,82
4/24/2020,NOKIA 2720 FLIP 2019 NEW - 100% ORI NOKIA - BNIB,F3,6,RM,Nokia 1,Kota Batam,FALSE,1510000,80,0,0,50,94,47,169
4/19/2020,nokia 105,C2,7,RM,Nokia 1,Kab. Nganjuk,TRUE,720000,999999,0,0,1,98,24,24
4/28/2020,Hp Nokia X1,C3,8,RM,Nokia 1,Kota Semarang,FALSE,4015000,999999,0,0,2,100,21,21
4/8/2020,NOKIA 2720 FLIP 2019 NEW - 100% ORI NOKIA - BNIB,F3,6,RM,Nokia 1,Kota Batam,FALSE,1510000,82,6040000,4,76,93,45,172
4/23/2020,OPPO A7 RAM 4/64 GARANSI RESMI OPPO INDONESIA,E3,9,RM,Oppo A7,Kota Administrasi Jakarta Utara,FALSE,2100000,999952,0,0,17,96,37,87
4/21/2020,Oppo A7 Ram 4/64Gb Garansi Resmi - Gold,E4,10,RM,Oppo A7,Kota Tangerang Selatan,FALSE,2050000,999999,0,0,16,91,59,123
4/25/2020,Oppo A7 Ram 4/64Gb Garansi Resmi - Gold,E4,10,RM,Oppo A7,Kota Tangerang Selatan,FALSE,2050000,999999,0,0,3,91,59,123
4/18/2020,OPPO A7 RAM 4/64 GARANSI RESMI OPPO INDONESIA,E3,9,RM,Oppo A7,Kota Administrasi Jakarta Utara,FALSE,2100000,999952,0,0,8,96,37,87
4/13/2020,Oppo A7 Ram 4/64Gb Garansi Resmi - Gold,E4,10,RM,Oppo A7,Kota Tangerang Selatan,FALSE,2050000,999999,0,0,4,91,59,123
