Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA15,9.3,0,0.016047301,4,249.8092,9,4,1,0,1,3735.138
DRC01,5.92,1,0.019278216,14,48.2692,3,8,1,2,2,443.4228
FDN15,17.5,0,0.016760075,10,141.618,9,4,1,0,1,2097.27
FDX07,19.2,1,0.0,6,182.095,0,3,1,2,0,732.38
NCD19,8.93,0,0.0,9,53.8614,1,1,0,2,1,994.7052
FDP36,10.395,1,0.0,0,51.4008,3,8,1,2,2,556.6088
FDO10,13.65,1,0.012741088999999999,13,57.6588,1,1,0,2,1,343.5528
FDP10,12.857645184135976,0,0.127469857,13,107.7622,5,0,1,2,3,4022.7636
FDH17,16.2,1,0.016687114,5,96.9726,7,5,1,1,1,1076.5986
FDU28,19.2,1,0.09444959,5,187.8214,2,7,1,1,1,4710.535
FDY07,11.8,0,0.0,6,45.5402,9,4,1,0,1,1516.0266
FDA03,18.5,1,0.045463773,4,144.1102,8,2,2,0,1,2187.153
FDX32,15.1,1,0.1000135,6,145.4786,9,4,1,0,1,1589.2646
FDS46,17.6,1,0.047257328,13,119.6782,8,2,2,0,1,2145.2076
FDF32,16.35,0,0.06802430000000001,6,196.4426,1,1,0,2,1,1977.4260000000002
FDP49,9.0,1,0.06908896099999999,2,56.3614,8,2,2,0,1,1547.3192
NCB42,11.8,0,0.008596051,8,115.3492,3,8,1,2,2,1621.8888
FDP49,9.0,1,0.06919637599999999,2,54.3614,9,4,1,0,1,718.3982
DRI11,12.857645184135976,0,0.034237682,7,113.2834,5,0,1,2,3,2303.6679999999997
FDU02,13.35,0,0.10249212,4,230.5352,6,6,2,1,1,2748.4224
FDN22,18.85,1,0.138190277,13,250.8724,1,1,0,2,1,3775.086
FDW12,12.857645184135976,1,0.035399923,0,144.5444,5,0,1,2,3,4064.0432
NCB30,14.6,0,0.025698133999999997,9,196.5084,6,6,2,1,1,1587.2672
FDC37,12.857645184135976,0,0.057556998,0,107.6938,4,0,2,0,0,214.3876
FDR28,13.85,1,0.025896485,5,165.021,8,2,2,0,1,4078.025
NCD06,13.0,0,0.099887103,9,45.906000000000006,2,7,1,1,1,838.908
FDV10,7.645,1,0.06669343700000001,13,42.3112,6,6,2,1,1,1065.28
DRJ59,11.65,0,0.019356131999999998,7,39.1164,1,1,0,2,1,308.9312
FDE51,5.925,1,0.161466534,4,45.5086,0,3,1,2,0,178.4344
FDC14,12.857645184135976,1,0.072221801,3,43.6454,4,0,2,0,0,125.8362
FDV38,19.25,0,0.17034855100000001,4,55.7956,0,3,1,2,0,163.7868
NCS17,18.6,0,0.080829372,8,96.4436,3,8,1,2,2,2741.7644
FDP33,18.7,0,0.0,13,256.6672,3,8,1,2,2,3068.0064
FDO23,17.85,0,0.0,1,93.1436,7,5,1,1,1,2174.5028
DRH01,17.5,0,0.097904029,14,174.8738,8,2,2,0,1,2085.2856
NCX29,10.0,0,0.08929113699999999,8,146.7102,9,4,1,0,1,3791.0652
FDV20,12.857645184135976,1,0.059511812000000004,6,128.0678,5,0,1,2,3,2797.6916
DRZ11,8.85,1,0.113123893,14,122.5388,3,8,1,2,2,1609.9044
FDX10,12.857645184135976,1,0.12311145300000001,13,36.9874,5,0,1,2,3,388.1614
FDB34,12.857645184135976,0,0.026480953999999998,13,87.6198,5,0,1,2,3,2180.495
FDU02,13.35,0,0.102511504,4,230.6352,8,2,2,0,1,3435.528
FDK43,9.8,0,0.02681843,10,126.00200000000001,1,1,0,2,1,2150.534
FDA46,13.6,0,0.117818348,13,192.9136,9,4,1,0,1,2527.3768
FDC02,21.35,0,0.06910283099999999,3,259.9278,3,8,1,2,2,6768.5228
FDL50,12.15,1,0.042277867000000004,3,126.5046,1,1,0,2,1,373.5138
FDM39,6.42,0,0.08949892599999999,4,178.1002,0,3,1,2,0,358.2004
NCP05,19.6,0,0.0,8,153.3024,7,5,1,1,1,2428.8384
FDV49,10.0,0,0.025879577,3,265.2226,7,5,1,1,1,5815.0972
FDL12,15.85,1,0.121632721,0,60.622,8,2,2,0,1,2576.646
FDS02,12.857645184135976,1,0.25539489600000004,4,196.8794,4,0,2,0,0,780.3176
NCL17,7.39,0,0.067779712,8,143.8812,8,2,2,0,1,3134.5864
FDM40,10.195,0,0.159803853,5,141.5154,1,1,0,2,1,850.8924
FDR13,9.895,1,0.028696932,3,117.0492,1,1,0,2,1,810.9444
FDA43,10.895,0,0.065041581,6,196.3794,2,7,1,1,1,3121.2704
NCP18,12.15,0,0.028760012999999997,9,151.4708,2,7,1,1,1,4815.0656
FDK21,7.905,0,0.010053105,13,249.0408,3,8,1,2,2,6258.52
NCX54,9.195,0,0.048157338,9,106.1622,7,5,1,1,1,2117.244
DRK35,8.365,0,0.071958197,7,38.0506,9,4,1,0,1,796.9626
FDY21,15.1,0,0.17348130399999998,13,194.511,8,2,2,0,1,4910.275
FDI26,12.857645184135976,0,0.061082177,3,180.0344,4,0,2,0,0,892.172
FDM20,10.0,0,0.0,6,246.9144,3,8,1,2,2,3185.1872
FDV27,7.97,1,0.040071131,10,87.3514,7,5,1,1,1,1062.6168
FDF09,12.857645184135976,0,0.012090074,6,38.2848,5,0,1,2,3,484.7024
FDY40,12.857645184135976,1,0.15028599,5,51.0692,4,0,2,0,0,147.8076
FDY45,12.857645184135976,0,0.026015518999999997,13,255.8356,5,0,1,2,3,2543.356
FDC46,17.7,0,0.195068226,13,185.4266,0,3,1,2,0,184.4266
FDH19,19.35,0,0.033082215,10,172.5738,6,6,2,1,1,4865.6664
FDZ03,13.65,1,0.078946455,4,186.024,7,5,1,1,1,1118.5439999999999
DRH37,17.6,0,0.041700756,14,164.8526,7,5,1,1,1,2302.3364
NCI17,8.645,0,0.14342264300000002,8,95.84100000000001,8,2,2,0,1,2027.361
FDJ58,15.6,1,0.10529607199999999,13,170.1764,8,2,2,0,1,3435.528
FDL12,15.85,1,0.121531501,0,59.222,1,1,0,2,1,599.22
FDH35,18.25,0,0.0,15,164.7526,7,5,1,1,1,4604.6728
FDG02,7.855,0,0.011324862,3,189.6188,2,7,1,1,1,2285.0256
NCZ18,7.825,0,0.186357148,9,254.3698,9,4,1,0,1,5580.7356
FDC29,8.39,1,0.024205661,5,114.0176,8,2,2,0,1,2290.3520000000003
FDQ10,12.85,0,0.033230816,13,172.3422,9,4,1,0,1,1207.0954
FDN48,12.857645184135976,0,0.113720344,0,89.9804,4,0,2,0,0,643.1628
FDL04,19.0,0,0.11255650699999999,5,104.9622,2,7,1,1,1,1587.933
FDV25,5.905,0,0.0,3,222.5456,7,5,1,1,1,5305.0944
